City Name,Country,State,Status
Navi Mumbai,India,Maharashtra,active
Bangalore,India,Karnataka,active
Margao,India,Goa,active
Thiruvalla,India,Kerala,active
Gulbarga,India,Karnataka,active
Karaikudi,India,Tamil Nadu,active
Shimoga,India,Karnataka,active
Narasaraopet,India,Andhra Pradesh,active
Hosur,India,Tamil Nadu,active
Karaikal,India,Tamil Nadu,active
Payyannur,India,Kerala,active
Ongole,India,Andhra Pradesh,active
Dabolim,India,Goa,active
Kanchipuram,India,Tamil Nadu,active
Tiruvannamalai,India,Tamil Nadu,active
Aurangabad,India,Maharashtra,active
Nadiad,India,Gujarat,active
Bellary,India,Karnataka,active
Rajahmundry,India,Andhra Pradesh,active
Udumalaipettai,India,Tamil Nadu,active
Kanhangad,India,Kerala,active
Vizag,India,Andhra Pradesh,active
Hospet,India,Karnataka,active
Vizag,India,Andhra Pradesh,active
Kunnamkulam,India,Kerala,active
Sulur,India,Tamil Nadu,active
Vizag,India,Andhra Pradesh,active
Karwar,India,Karnataka,active
Palani,India,Tamil Nadu,active
Nagercoil,India,Tamil Nadu,active
Rajahmundry,India,Andhra Pradesh,active
Chennai,India,Tamil Nadu,active
Tirupathur,India,Tamil Nadu,active
Trivandrum,India,Kerala,active
Kundrathur,India,Tamil Nadu,active
Mahbubnagar,India,Telangana,active
Pala,India,Kerala,active
Taliparamba,India,Kerala,active
Pondicherry,India,Tamil Nadu,active
Doddaballapura,India,Karnataka,active
Pollachi,India,Tamil Nadu,active
Hosur,India,Tamil Nadu,active
Poojappura,India,Kerala,active
Karamana,India,Kerala,active
Chikmagalur,India,Karnataka,active
Tumkur,India,Karnataka,active
Kadapa,India,Andhra Pradesh,active
Hyderabad,India,Telangana,active
Proddatur,India,Andhra Pradesh,active
Kasargod,India,Kerala,active
Changanassery,India,Kerala,active
Pattukottai,India,Tamil Nadu,active
Amalapuram,India,Andhra Pradesh,active
Madanapalle,India,Andhra Pradesh,active
Vadakara,India,Kerala,active
Irininjalakuda,India,Kerala,active
